 player_id,full_name,position
00-0029303,Billy Winn,UNK
00-0031413,Bishop Sankey,RB
00-0030563,Bjoern Werner,UNK
00-0027948,Blaine Gabbert,QB
00-0029576,Blair Walsh,K
00-0027477,Blair White,UNK
00-0031407,Blake Bortles,QB
00-0024129,Blake Costanzo,UNK
00-0030541,Blidi Wreh-Wilson,FS
00-0023612,Bo Scaife,UNK
00-0024233,Bobby Carpenter,UNK
00-0029384,Bobby Rainey,RB
00-0022144,Bobby Wade,UNK
00-0029255,Bobby Wagner,MLB
00-0026946,Brad Jones,UNK
00-0010609,Brad Maynard,UNK
00-0029304,Brad Nortman,P
00-0024318,Brad Smith,UNK
00-0030292,Brad Sorensen,UNK
00-0030142,Brad Wing,P
00-0022137,Bradie James,UNK
00-0027041,Bradley Fletcher,UNK
00-0030161,Bradley McDougald,FS
00-0032065,Bradley Pinion,P
00-0031372,Bradley Roby,FS
00-0023559,Brady Poppinga,UNK
00-0025409,Brady Quinn,UNK
00-0031277,Branden Oliver,RB
00-0028601,Brandian Ross,UNK
00-0031236,Brandin Cooks,WR
00-0027618,Brandon Banks,UNK
00-0029239,Brandon Bolden,RB
00-0029416,Brandon Boykin,DB
00-0023013,Brandon Browner,CB
00-0026280,Brandon Carr,CB
00-0025612,Brandon Fields,UNK
00-0026175,Brandon Flowers,CB
00-0026937,Brandon Gibson,UNK
00-0027865,Brandon Graham,OLB
00-0027998,Brandon Harris,UNK
00-0025450,Brandon Jackson,UNK
00-0023545,Brandon Jacobs,UNK
00-0024356,Brandon Johnson,UNK
00-0027681,Brandon LaFell,WR
00-0022097,Brandon Lloyd,UNK
00-0029620,Brandon Marshall,UNK
00-0024334,Brandon Marshall,WR
00-0025527,Brandon McDonald,UNK
00-0023354,Brandon McGowan,UNK
00-0029822,Brandon McManus,K
00-0025472,Brandon Mebane,DT
00-0025411,Brandon Meriweather,UNK
00-0027135,Brandon Myers,TE
00-0026996,Brandon Pettigrew,TE
00-0025627,Brandon Siler,UNK
00-0027668,Brandon Spikes,UNK
00-0015754,Brandon Stokley,UNK
00-0027057,Brandon Tate,WR
00-0029677,Brandon Weeden,QB
00-0030511,Brandon Williams,NT
00-0023438,Braylon Edwards,UNK
00-0000551,Brendon Ayanbadejo,UNK
00-0025549,Brent Celek,TE
00-0024183,Brent Grimes,DB
00-0029394,Brenton Bersin,UNK
00-0005106,Brett Favre,UNK
00-0028540,Brett Hartmann,UNK
00-0021344,Brett Keisel,UNK
00-0025825,Brett Kern,P
00-0025694,Brett Ratliff,UNK
00-0026196,Brian Brohm,UNK
00-0026991,Brian Cushing,ILB
00-0004073,Brian Dawkins,UNK
00-0027077,Brian Hartline,WR
00-0026625,Brian Hoyer,QB
00-0024100,Brian Iwuh,UNK
00-0025439,Brian Leonard,UNK
00-0011626,Brian Moorman,UNK
00-0026989,Brian Orakpo,OLB
00-0029640,Brian Quick,WR
00-0027012,Brian Robiskie,UNK
00-0025489,Brian Robison,DE
00-0026084,Brian Schaefering,UNK
00-0019456,Brian Urlacher,UNK
00-0021216,Brian Westbrook,UNK
00-0030516,Brice Butler,WR
00-0026935,Brice McCain,DB
00-0029336,Brittan Golden,WR
00-0026516,Britton Colquitt,P
00-0029682,Brock Osweiler,QB
00-0024300,Brodie Croyle,UNK
00-0023469,Brodney Pool,UNK
00-0024229,Brodrick Bunkley,UNK
00-0028575,Bront Bird,UNK
00-0027980,Brooks Reed,OLB
00-0027978,Bruce Carter,LB
00-0031326,Bruce Ellington,WR
00-0024408,Bruce Gradkowski,UNK
00-0025917,Bruce Hall,UNK
00-0029193,Bruce Irvin,LB
00-0028149,Bruce Miller,FB
00-0029692,Bryan Anger,P
00-0028536,Bryan Braman,LB
00-0026263,Bryan Kehl,UNK
00-0027421,Bryan McCann,UNK
00-0021951,Bryan Scott,UNK
00-0021081,Bryan Thomas,UNK
00-0027595,Bryan Walters,UNK
00-0022156,Bryant Johnson,UNK
00-0023497,Bryant McFadden,UNK
00-0029429,Bryce Brown,UNK
00-0028075,Buster Skrine,DB
00-0022177,Byron Leftwich,UNK
00-0028111,Byron Maxwell,DB
00-0023621,C.C. Brown,UNK
00-0029854,C.J. Anderson,RB
00-0023624,C.J. Mosley,UNK
00-0031296,C.J. Mosley,ILB
00-0027861,C.J. Spiller,RB
00-0026758,C.J. Spillman,UNK
00-0027822,C.J. Wilson,UNK
00-0023440,Cadillac Williams,UNK
00-0031203,Cairo Santos,K
00-0026190,Calais Campbell,DE
00-0025970,Caleb Hanie,UNK
00-0030390,Caleb Sturgis,K
00-0025389,Calvin Johnson,UNK
00-0022120,Calvin Pace,UNK
00-0031343,Calvin Pryor,SS
00-0027939,Cam Newton,QB
00-0027745,Cam Thomas,UNK
00-0027969,Cameron Heyward,DE
00-0027962,Cameron Jordan,DE
00-0023368,Cameron Wake,DE
00-0026944,Captain Munnerlyn,CB
00-0027662,Carlos Dunlap,DE
00-0031045,Carlos Hyde,RB
00-0023444,Carlos Rogers,UNK
00-0021429,Carson Palmer,QB
00-0026369,Cary Williams,UNK
00-0028986,Case Keenum,UNK
00-0020426,Casey Hampton,UNK
00-0029261,Casey Hayward,DB
00-0028054,Casey Matthews,UNK
00-0027290,Cassius Vaughn,UNK
00-0028052,Cecil Shorts,WR
00-0023439,Cedric Benson,UNK
00-0024263,Cedric Griffin,UNK
00-0026932,Cedric Peerman,RB
00-0028424,Cedric Thornton,DT
00-0024232,Chad Greenway,OLB
00-0027188,Chad Hall,UNK
00-0026197,Chad Henne,QB
00-0020397,Chad Johnson,UNK
00-0019559,Chad Pennington,UNK
00-0025997,Chad Simpson,UNK
00-0000585,Champ Bailey,UNK
00-0030896,Chandler Catanzaro,K
00-0029554,Chandler Harnish,UNK
00-0029585,Chandler Jones,DE
00-0023505,Channing Crowder,UNK
00-0025622,Chansi Stuckey,UNK
00-0030668,Charcandrick West,RB
00-0028112,Charles Clay,TE
00-0026207,Charles Godfrey,FS
00-0025470,Charles Johnson,DE
00-0030113,Charles Johnson,WR
00-0031390,Charles Sims,RB
00-0022123,Charles Tillman,UNK
00-0018227,Charles Woodson,FS
00-0000865,Charlie Batch,UNK
00-0023502,Charlie Frye,UNK
00-0024372,Charlie Peprah,UNK
00-0024296,Charlie Whitehurst,UNK
00-0028427,Chas Henry,UNK
00-0023693,Chase Blackburn,UNK
00-0027069,Chase Coffman,UNK
00-0026544,Chase Daniel,QB
00-0028795,Chase Reynolds,UNK
00-0026366,Chaz Schilens,UNK
00-0021314,Chester Taylor,UNK
00-0028051,Chimdi Chekwa,DB
00-0025640,Chinedum Ndukwe,UNK
00-0026512,Chris Baker,DE
00-0031303,Chris Borland,UNK
00-0031136,Chris Boswell,K
00-0022092,Chris Brown,UNK
00-0023566,Chris Canty,DE
00-0023008,Chris Carr,UNK
00-0026368,Chris Chamberlain,UNK
00-0020446,Chris Chambers,UNK
00-0027115,Chris Clemons,DB
00-0021577,Chris Clemons,DE
00-0028031,Chris Conte,SS
00-0027649,Chris Cook,UNK
00-0022738,Chris Cooley,UNK
00-0022167,Chris Crocker,UNK
00-0028018,Chris Culliver,CB
00-0022914,Chris Gamble,UNK
00-0029614,Chris Givens,WR
00-0024286,Chris Gocong,UNK
00-0028224,Chris Harris,CB
00-0023614,Chris Harris,UNK
00-0028237,Chris Hogan,WR
00-0021219,Chris Hope,UNK
00-0025428,Chris Houston,UNK
00-0027531,Chris Ivory,RB
00-0027167,Chris Jennings,UNK
00-0026164,Chris Johnson,RB
00-0021949,Chris Johnson,UNK
00-0028664,Chris Jones,P
00-0021995,Chris Kelsay,UNK
00-0031361,Chris Kirksey,ILB
00-0023060,Chris Kluwe,UNK
00-0026142,Chris Long,DE
00-0027378,Chris Maragos,FS
00-0027140,Chris Ogbonnaya,UNK
00-0027062,Chris Owens,UNK
00-0029438,Chris Polk,UNK
00-0028059,Chris Prosinski,SS
00-0029140,Chris Rainey,UNK
00-0019709,Chris Redman,UNK
00-0030404,Chris Thompson,RB
00-0024517,Chris Wilson,UNK
00-0031130,Christian Jones,ILB
00-0027950,Christian Ponder,UNK
00-0030432,Christine Michael,RB
00-0028102,Chykie Brown,DB
00-0019538,Clark Haggans,UNK
00-0027725,Clay Harbor,TE
00-0027002,Clay Matthews,ILB
00-0026232,Cliff Avril,DE
00-0026113,Clifton Smith,UNK
00-0025523,Clint Session,UNK
00-0026964,Clinton McDonald,DT
00-0021179,Clinton Portis,UNK
00-0028049,Clyde Gates,UNK
00-0029697,Coby Fleener,TE
00-0027805,Cody Grimm,UNK
00-0030850,Cody Parkey,K
00-0029000,Cole Beasley,WR
00-0021684,Colin Cole,UNK
00-0028128,Colin Jones,DB
00-0027974,Colin Kaepernick,QB
00-0028047,Colin McCarthy,UNK
00-0026578,Colt Anderson,DB
00-0027688,Colt McCoy,QB
00-0030551,Colton Schmidt,P
00-0026138,Connor Barth,K
00-0027022,Connor Barwin,OLB
00-0028707,Corbin Bryant,DT
00-0030578,Cordarrelle Patterson,WR
00-0031118,Corey Brown,WR
00-0025555,Corey Graham,FS
00-0027956,Corey Liuget,DE
00-0026317,Corey Lynch,UNK
00-0024018,Corey Mays,UNK
00-0020804,Corey McIntyre,UNK
00-0027686,Corey Peters,DT
00-0023478,Corey Webster,UNK
00-0029658,Corey White,DB
00-0022906,Corey Williams,UNK
00-0027603,Corey Wootton,UNK
00-0020270,Correll Buckhalter,UNK
00-0028066,Cortez Allen,UNK
00-0024429,Cortland Finnegan,UNK
00-0021998,Cory Redding,UNK
00-0029529,Coty Sensabaugh,DB
00-0026960,Courtney Greene,UNK
00-0023503,Courtney Roby,UNK
00-0029252,Courtney Upshaw,LB
00-0024796,Craig Dahl,UNK
00-0028834,Craig Robertson,LB
00-0026260,Craig Steltz,UNK
00-0026225,Craig Stevens,UNK
00-0021706,Cullen Jenkins,UNK
00-0026745,Curtis Brinkley,UNK
00-0026177,Curtis Lofton,UNK
00-0027134,Curtis Painter,UNK
00-0029298,Cyrus Gray,RB
00-0024249,D'Qwell Jackson,ILB
00-0030572,D.J. Hayden,CB
00-0026907,D.J. Moore,UNK
00-0028124,D.J. Smith,UNK
00-0030566,D.J. Swearinger,DB
00-0024559,D.J. Ware,UNK
00-0022780,D.J. Williams,UNK
00-0028038,Da'Norris Searcy,SS
00-0027989,Da'Quan Bowers,UNK
00-0028159,Da'Rel Scott,UNK
00-0030491,Daimion Stafford,FS
00-0022165,Dallas Clark,UNK
00-0029435,Damaris Johnson,WR
00-0027893,Damian Williams,UNK
00-0030874,Damien Williams,RB
00-0029040,Damon Harrison,DT
00-0030069,Damontre Moore,DE
00-0028660,Dan Bailey,K
00-0026003,Dan Carpenter,K
00-0026214,Dan Connor,UNK
00-0029588,Dan Herron,UNK
00-0023578,Dan Orlovsky,QB
00-0026725,Dan Skuta,OLB
00-0027877,Dan Williams,DT
00-0027912,Danario Alexander,UNK
00-0027237,Dane Fletcher,UNK
00-0028352,Dane Sanzenbacher,UNK
00-0024257,Danieal Manning,UNK
00-0023752,Daniel Fells,UNK
00-0021154,Daniel Graham,UNK
00-0024692,Daniel Muir,UNK
00-0025499,Daniel Sepulveda,UNK
00-0028000,Daniel Thomas,RB
00-0026857,Dannell Ellerbe,OLB
00-0026035,Danny Amendola,WR
00-0019506,Danny Clark,UNK
00-0026837,Danny Gorrer,UNK
00-0026028,Danny Lansanah,UNK
00-0027422,Danny McCray,UNK
00-0029577,Danny Trevathan,LB
00-0026019,Danny Woodhead,RB
00-0025482,Dante Hughes,UNK
00-0025542,Dante Rosario,UNK
00-0027256,Darian Stewart,FS
00-0027017,Darius Butler,CB
00-0025951,Darius Reynaud,UNK
00-0030062,Darius Slay,CB
00-0022930,Darnell Dockett,UNK
00-0026852,Darrel Young,UNK
00-0027710,Darrell Stuckey,DB
